Year,EQ,UEB,MER,PP
2020,3657,3575,3525,3490
2021,3659,3575,3525,3490
2022,3660,3575,3525,3490
2023,3662,3575,3525,3490
2024,3663,3575,3525,3490
2025,3664,3575,3525,3490
2026,3666,3575,3525,3490
2027,3667.070139,3575,3525,3490
2028,3668.360147,3575,3525,3490
2029,3669.664379,3575,3525,3490
2030,3670.958937,3575,3525,3490
2031,3672.04374,3575,3525,3490
2032,3673.148689,3575,3525,3490
2033,3674.273437,3575,3525,3490
2034,3675.417636,3575,3525,3490
2035,3676.580941,3575,3525,3490
2036,3677.76301,3575,3525,3490
2037,3678.963508,3575,3525,3490
2038,3680.182097,3575,3525,3490
2039,3681.581821,3575,3525,3490
2040,3682.959347,3575,3525,3490
2041,3684.268131,3575,3525,3490
2042,3685.53156,3575,3525,3490
2043,3686.750496,3575,3525,3490
2044,3687.925756,3575,3525,3490
2045,3689.058097,3575,3525,3490
2046,3690.148244,3575,3525,3490
2047,3691.196878,3575,3525,3490
2048,3692.204627,3575,3525,3490
2049,3693.223497,3575,3525,3490
2050,3694.140789,3575,3525,3490
2051,3694.804903,3575,3525,3490
2052,3695.405872,3575,3525,3490
2053,3695.944244,3575,3525,3490
2054,3696.420513,3575,3525,3490
2055,3696.835093,3575,3525,3490
2056,3697.188359,3575,3525,3490
2057,3697.48061,3575,3525,3490
2058,3697.712109,3575,3525,3490
2059,3697.883052,3575,3525,3490
2060,3697.99359,3575,3525,3490
