file,slot,period,summary,eval,t_s,variable
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.LBNormalCondition,asis,NA,NA,NA,lbNormal
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.MidElevationReleaseAt823,asis,NA,NA,NA,mer823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.AnnualShortageAnyTypeFlag,asis,NA,NA,NA,lbShortage
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.UpperBalancingBelow823,asis,NA,NA,NA,uebLt823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.AnnualFloodControlFlag,asis,NA,NA,NA,lbSurplus
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.EqualizationAt823,asis,NA,NA,NA,eq823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.UpperBalancingAbove823,asis,NA,NA,NA,uebGt823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.UpperBalancingAt823,asis,NA,NA,NA,ueb823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.MidElevationReleaseAt748,asis,NA,NA,NA,mer748
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.EqualizationAbove823,asis,NA,NA,NA,eq
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.LowerBalancingAbove823,asis,NA,NA,NA,lebGt823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.LowerBalancingBelow823,asis,NA,NA,NA,lebLt823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.LowerBalancingAt823,asis,NA,NA,NA,leb823
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.AnnualFloodControlFlag,asis,NA,NA,NA,lbFcSurplus
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.Step1ShortageFlag,asis,NA,NA,NA,lbShortageStep1
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.Step2ShortageFlag,asis,NA,NA,NA,lbShortageStep2
flags.rdf,CoordinatedOperationsFlagsForFreqTbl.Step3ShortageFlag,asis,NA,NA,NA,lbShortageStep3
